,program_name,program_type_description,address,georeference,lat,lon
53,CFTSS: Youth Peer Support and Training,CFTSS: Youth Peer Support (YPS),"713 Union, Hudson, NY, 12534-3001",POINT (-73.784197 42.246575),42.246575,-73.784197
54,Westchester OMH Contract,Advocacy/Support Services,"3 Atrium Drive, Albany, NY, 12205",POINT (-73.7762 42.688905),42.688905,-73.7762
56,Kids Oneida ACT Team,Children and Youth Assertive Community Treatment,"310 Main Street, Utica, NY, 13501-1236",POINT (-75.224324 43.104037),43.104037,-75.224324
58,Bedford Avenue Health Center,Clinic Treatment,"1669 Bedford Avenue, Brooklyn, NY, 11225-2009",POINT (-73.956782 40.665912),40.665912,-73.956782
62,Inpatient Unit,Inpatient Psychiatric Unit of a General Hospital,"355 Bard Avenue, Staten Island, NY, 10310-1664",POINT (-74.106693 40.63551),40.63551,-74.106693
64,Bridges Psychosocial Club,Psychosocial Club,"425 Washington Street, Watertown, NY, 13601-2602",POINT (-75.911712 43.970222),43.970222,-75.911712
65,Parent Engagement/Transition Coordinator,Advocacy/Support Services,"31 Thurber Drive, Waterloo, NY, 13148",POINT (-76.844816 42.906298),42.906298,-76.844816
68,HRH Care at Shirley,Clinic Treatment,"550 Montauk Highway, Shirley, NY, 11967-2114",POINT (-72.879024 40.800595),40.800595,-72.879024
69,Drop In Center,Drop In Centers,"230 Ramapo Road, Garnerville, NY, 10923",POINT (-73.985384 41.199442),41.199442,-73.985384
75,Family Support Services-Children & Family,Family Peer Support Services - Children & Family,"1439 Buffalo Street, Olean, NY, 14760",POINT (-78.448017 42.086785),42.086785,-78.448017
78,Supported Housing,Advocacy/Support Services,"13 State Street, Schenectady, NY, 12305",POINT (-73.948724 42.81524),42.81524,-73.948724
80,Beacon Center,Clinic Treatment,"210 South Main Street, Herkimer, NY, 13350-2375",POINT (-74.985221 43.02458),43.02458,-74.985221
81,NCB Partial Hospitalization Program,Partial Hospitalization,"3424 Kossuth Avenue, Bronx, NY, 10467-2410",POINT (-73.881631 40.880462),40.880462,-73.881631
82,Postgraduate Center for Mental Health - HH CM,Health Home Care Management,"158 East 35th Street, New York, NY, 10016",POINT (-73.97822 40.746628),40.746628,-73.97822
83,Salmon River Central School,School Mental Health Program,"637 County Route 1, Fort Covington, NY, 12937",POINT (-74.516236 44.962144),44.962144,-74.516236
84,Wayne Cap Behavioral Health Services,CFTSS: Family Peer Support Services (FPSS),"159 Montezuma Street, Lyons, NY, 14489",POINT (-76.977616 43.061859),43.061859,-76.977616
85,Family Peer Support and Services,CFTSS: Family Peer Support Services (FPSS),"40 N Main Ave, Albany, NY, 12203",POINT (-73.786938 42.666451),42.666451,-73.786938
87,New York-Presbyterian Brooklyn Methodist Hospital Psychiatri,Inpatient Psychiatric Unit of a General Hospital,"506 Sixth Street, Brooklyn, NY, 11215",POINT (-73.979141 40.668263),40.668263,-73.979141
88,Erie County Respite Services,Advocacy/Support Services,"81 Sayre Street, Buffalo, NY, 14207",POINT (-78.892358 42.947598),42.947598,-78.892358
90,Long Island Advocacy Center,Advocacy/Support Services,"999 Herricks Road, New Hyde Park, NY, 11040",POINT (-73.65993 40.759353),40.759353,-73.65993
92,Children and Family Treatment and Support and Services,CFTSS: Psychosocial Rehabilitation (PSR),"628 Mary St., Utica, NY, 13501",POINT (-75.219803 43.096817),43.096817,-75.219803
94,Mather Hospital Mental Health Clinic,Clinic Treatment,"125 Oakland Avenue, Port Jefferson, NY, 11777-2130",POINT (-73.054083 40.936334),40.936334,-73.054083
97,Mobile Integration Team,Mobile Integration Team,"140 Old Orangeburg Rd, Orangeburg, NY, 10962",POINT (-73.969781 41.044479),41.044479,-73.969781
100,ALBANY HEALTH HOME,Health Home Care Management,"102 Hackett Blvd, Albany, NY, 12209",POINT (-73.785513 42.644078),42.644078,-73.785513
102,Family Support Services,Family Peer Support Services - Children & Family,"320 North Goodman Street, Rochester, NY, 14607",POINT (-77.584787 43.159781),43.159781,-77.584787
103,Health Home Non Medicaid Care Management C&Y,Health Home Non-Medicaid Care Management,"1519 Nye Road, Lyon, NY, 14489-9133",POINT (-77.029774 43.061677),43.061677,-77.029774
104,The Steve Schwarzkopf Community Mental Health Center,Clinic Treatment,"1111 Elmwood Avenue, Rochester, NY, 14620-3005",POINT (-77.609856 43.124938),43.124938,-77.609856
106,HDS Outreach and Flexible,Outreach,"930 Mamaroneck Avenue, Mamaroneck, NY, 10543",POINT (-73.737266 40.959327),40.959327,-73.737266
108,Peer Advocacy Warsaw,Advocacy/Support Services,"27 West Buffalo Street, Warsaw, NY, 14569",POINT (-78.133473 42.740221),42.740221,-78.133473
111,New Horizon Counseling Center West Rockaway Clinic,Clinic Treatment,"88-02 Rockaway Beach Blvd, Rockaway Beach, NY, 11693-1609",POINT (-73.813141 40.587318),40.587318,-73.813141
112,Saratoga County PROS dba Reflections PROS,Comprehensive PROS without Clinical Treatment,"135 South Broadway, Saratoga Springs, NY, 12866-4532",POINT (-73.788572 43.070151),43.070151,-73.788572
113,JCCA Brooklyn Child & Adolescent Guidance Services,Clinic Treatment,"858 E 29th Street, Brooklyn, NY, 11210-2927",POINT (-73.948503 40.630015),40.630015,-73.948503
114,Oswego County Suicide Prevention Coalition,Advocacy/Support Services,"283 West 2nd Street, Oswego, NY, 13126",POINT (-76.508415 43.4493),43.4493,-76.508415
115,Transportation,Transportation,"4600 Millennium Drive, Geneseo, NY, 14454-1195",POINT (-77.790421 42.79823),42.79823,-77.790421
124,Montefiore Wakefield Child Psychiatry Clinic,Clinic Treatment,"4401 Bronx Boulevard, Bronx, NY, 10470-1407",POINT (-73.857351 40.900397),40.900397,-73.857351
125,Mobile Integration Team,Mobile Integration Team,"74-03 Commonwealth Boulevard, Bellerose, NY, 11426-1837",POINT (-73.726882 40.744944),40.744944,-73.726882
126,MHA Ulster-Transitions-Non Medicaid CC,Non-Medicaid Care Coordination,"300 Aaron Court, Kingston, NY, 12401",POINT (-74.015047 41.935186),41.935186,-74.015047
127,Health Home Care Management,Health Home Care Management,"500 Western Highway, Blauvelt, NY, 10913",POINT (-73.953592 41.053338),41.053338,-73.953592
128,Mothers Aligned Saving Kids Inc.,Family Peer Support Services - Children & Family,"1431 East 12th Street, Brooklyn, NY, 11230",POINT (-73.962194 40.614408),40.614408,-73.962194
129,OTSEGO C & Y NON MED CARE COORDINATION,Non-Medicaid Care Coordination,"9 River Street, Oneonta, NY, 13820",POINT (-75.064731 42.448599),42.448599,-75.064731
130,OCMS Outpatient Behavioral Health Clinic,Clinic Treatment,"620 Erie Boulevard West, Syracuse, NY, 13204-2457",POINT (-76.164413 43.049132),43.049132,-76.164413
131,SNCH Center for Behavioral Healthcare,Clinic Treatment,"250 Fulton Avenue, Hempstead, NY, 11550-3917",POINT (-73.626329 40.707812),40.707812,-73.626329
132,Consultation Center,CFTSS: Psychosocial Rehabilitation (PSR),"184 Eldridge Street, New York, NY, 10002",POINT (-73.990716 40.720597),40.720597,-73.990716
135,Transportation - Columbia County,Transportation,"713 Union Street, Hudson, NY, 12534",POINT (-73.784197 42.246575),42.246575,-73.784197
136,Weston TLC,On-Site Rehabilitation,"2262 Adam Clayton Powell Jr. Blvd, New York, NY, 10030",POINT (-73.944583 40.814247),40.814247,-73.944583
138,Self Help Program,Self-Help Programs,"111 Philips Brook Road, Garrison, NY, 10524",POINT (-73.911188 41.389184),41.389184,-73.911188
139,Youth Peer Support and Training - Genovese,CFTSS: Youth Peer Support (YPS),"89-30 161st Street, Jamaica, NY, 11432",POINT (-73.799479 40.70558),40.70558,-73.799479
141,Cattaraugus Rehabilitation Center - HH Non- Med CM,Health Home Non-Medicaid Care Management,"1439 Buffalo Street, Olean, NY, 14760",POINT (-78.448017 42.086785),42.086785,-78.448017
142,Mental Health Association of Rockland County Inc.,CFTSS: Youth Peer Support (YPS),"140 Route 303, Valley Cottage, NY, 10989",POINT (-73.94233 41.12062),41.12062,-73.94233
144,Children and Family Treatment and Support Services,CFTSS: Other Licensed Practitioner (OLP),"1780 Grand Concourse, Bronx, NY, 10457-5500",POINT (-73.90922 40.846359),40.846359,-73.90922
145,Fast Break Plus,CFTSS: Children's Mental Health Rehabilitation Services,"1841 Park Avenue, New York, NY, 10035",POINT (-73.938281 40.805822),40.805822,-73.938281
146,HCBS-Like Peer Support Services,Self-Help Programs,"283 West 2nd Street, Oswego, NY, 13126",POINT (-76.508415 43.4493),43.4493,-76.508415
148,Child and Youth Family Supp. Svcs.,Family Peer Support Services - Children & Family,"713 Union Street, Hudson, NY, 12534",POINT (-73.784197 42.246575),42.246575,-73.784197
149,Ohel Youth Peer Support and Training,CFTSS: Youth Peer Support (YPS),"1268 East 14th Street, Brooklyn, NY, 11230",POINT (-73.960998 40.61821),40.61821,-73.960998
151,Valhalla Office,Assisted Competitive Employment,"401 Columbus Avenue, Valhalla, NY, 10595",POINT (-73.777614 41.097342),41.097342,-73.777614
152,Mental Health Association in Essex County - HH CM,Health Home Care Management,"6096 Nys Route 9n, Westport, NY, 12993",POINT (-73.428083 44.159161),44.159161,-73.428083
154,Self Help Programs,Self-Help Programs,"21 First Street, Troy, NY, 12180",POINT (-73.693092 42.730148),42.730148,-73.693092
156,Hudson Guild Paula B. Balser Counseling Service,Clinic Treatment,"441 West 26th Street, New York, NY, 10001-5629",POINT (-74.001782 40.749167),40.749167,-74.001782
158,PCMH Brooklyn ACT,Assertive Community Treatment (ACT),"164 20th Street, Brooklyn, NY, 11232-1180",POINT (-73.995618 40.663592),40.663592,-73.995618
159,Center for Hearing and Communication,Clinic Treatment,"50 Broadway, New York, NY, 10004-3810",POINT (-74.012826 40.70639),40.70639,-74.012826
163,Abbott Corners PROS,Comprehensive PROS with Clinical Treatment,"3176 Abbott Road, Orchard Park, NY, 14127-1069",POINT (-78.795412 42.798403),42.798403,-78.795412
164,DELAWARE HEALTH HOME - ADULTS,Health Home Care Management,"132 Delaware Street, Walton, NY, 13856",POINT (-75.129753 42.168109),42.168109,-75.129753
165,Bronx Health Service Center,CFTSS: Psychosocial Rehabilitation (PSR),"910 E. 172 Street, Bronx, NY, 10460-5802",POINT (-73.890072 40.834178),40.834178,-73.890072
169,Cardinal McCloskey Community Services,CFTSS: Other Licensed Practitioner (OLP),"529 Courtlandt Avenue, Bronx, NY, 10451",POINT (-73.919768 40.816077),40.816077,-73.919768
171,Supported Work,Ongoing Integrated Supported Employment Services,"842 Bennie Road, Cortland, NY, 13045",POINT (-76.218686 42.566436),42.566436,-76.218686
172,Albany County Children's Mental Health Clinic,Clinic Treatment,"260 South Pearl Street, Albany, NY, 12202-1809",POINT (-73.75638 42.642565),42.642565,-73.75638
177,EPC Community Clinic,Clinic Treatment,"100 Washington Street, Elmira, NY, 14901-2898",POINT (-76.795313 42.091164),42.091164,-76.795313
178,NYS Family Court - Queens,Advocacy/Support Services,"151-20 Jamaica Avenue, Jamaica, NY, 11432",POINT (-73.803465 40.702407),40.702407,-73.803465
179,Health  Home Care Management C&Y,Health Home Care Management,"86-88 Walnut Street, Binghamton, NY, 13905",POINT (-75.923098 42.100935),42.100935,-75.923098
180,St. Vincent's PROS,Comprehensive PROS with Clinical Treatment,"275 North Street, Harrison, NY, 10528-1140",POINT (-73.71001 40.988342),40.988342,-73.71001
181,MHA Ulster-Compeer -Non Medicaid CC,Non-Medicaid Care Coordination,"300 Aaron Court, Kingston, NY, 12401",POINT (-74.015047 41.935186),41.935186,-74.015047
182,Children's Mental Health Rehabilitation Program,CFTSS: Children's Mental Health Rehabilitation Services,"17 East Genesee Street, Auburn, NY, 13021-4040",POINT (-76.562333 42.933141),42.933141,-76.562333
184,Brooklyn Learning Resource Center,Vocational Services - Children & Family (C & F),"1819 Bergen Street, Brooklyn, NY, 11233-4513",POINT (-73.921862 40.674569),40.674569,-73.921862
185,Healthy Steps,Advocacy/Support Services,"1411 Myrtle Avenue, Brooklyn, NY, 11237-4006",POINT (-73.91962 40.69868),40.69868,-73.91962
187,Mt. Vernon Community Services,Clinic Treatment,"100 California Road, Mount Vernon, NY, 10552-1404",POINT (-73.81682 40.926506),40.926506,-73.81682
188,Spectrum Wyoming Co. POEMS,Advocacy/Support Services,"34 N. Main Street, Warsaw, NY, 14569",POINT (-78.132582 42.740714),42.740714,-78.132582
189,Parsons Child & Family Center Day Treatment Program,Day Treatment,"58 Academy Road, Albany, NY, 12208-3103",POINT (-73.785395 42.64892),42.64892,-73.785395
190,Geriatric Peer Advocacy,Advocacy/Support Services,"681 Clarkson Avenue, Brooklyn, NY, 11206",POINT (-73.936177 40.656266),40.656266,-73.936177
191,Children's Care Coordination,Non-Medicaid Care Coordination,"377 Oak St, Garden City, NY, 11530",POINT (-73.608059 40.725589),40.725589,-73.608059
194,Buffalo Psychiatric Center ACT Program,Assertive Community Treatment (ACT),"400 Forest Avenue, Buffalo, NY, 14213-1207",POINT (-78.880201 42.929258),42.929258,-78.880201
199,NYC H+H / Jacobi ACT Program,Assertive Community Treatment (ACT),"1400 Pelham Parkway South, Bronx, NY, 10461-1116",POINT (-73.84721 40.857455),40.857455,-73.84721
201,Nassau Mental Health Law Project,Advocacy/Support Services,"1 Helen Keller Way, Hempstead, NY, 11550",POINT (-73.622647 40.708009),40.708009,-73.622647
204,MH Servs-Erie Co/Spectrum - HH NonMed CM,Health Home Non-Medicaid Care Management,"1280 Main Street, Buffalo, NY, 14209",POINT (-78.866876 42.908496),42.908496,-78.866876
205,FLACRA Mental Health Services,Clinic Treatment,"339 East Avenue, Rochester, NY, 14604-2625",POINT (-77.595794 43.155359),43.155359,-77.595794
206,CM Youth,Health Home Care Management,"127 Union Street, Saratoga Springs, NY, 12866-4411",POINT (-73.789913 43.071739),43.071739,-73.789913
207,CCNS Jamaica Behavioral Health Clinic,Clinic Treatment,"161-10 Jamaica Avenue, Jamaica, NY, 11432-6139",POINT (-73.798175 40.704141),40.704141,-73.798175
209,St. Joseph's Inpatient Psychiatric Services,Inpatient Psychiatric Unit of a General Hospital,"301 Prospect Avenue, Syracuse, NY, 13203-1807",POINT (-76.149176 43.055589),43.055589,-76.149176
210,PCMH Bronx ACT Team,Assertive Community Treatment (ACT),"391 East 149th Street, Bronx, NY, 10455-3907",POINT (-73.918287 40.816334),40.816334,-73.918287
211,Poughkeepsie Center PROS Program,Comprehensive PROS with Clinical Treatment,"26 Oakley Street, Poughkeepsie, NY, 12601-2005",POINT (-73.917448 41.709221),41.709221,-73.917448
215,Envision PROS,Comprehensive PROS without Clinical Treatment,"406 Vulcan Street, Buffalo, NY, 14207-1326",POINT (-78.899839 42.965634),42.965634,-78.899839
218,MH Transportation,Transportation,"16 Saratoga Bridges Blvd, Ballston Spa, NY, 12020",POINT (-73.793786 43.016954),43.016954,-73.793786
219,Non Medicaid Health Home Care Management,Non-Medicaid Care Coordination,"10 Symphony Circle, Buffalo, NY, 14201",POINT (-78.881614 42.902986),42.902986,-78.881614
220,Micrographics Day Training,Psychosocial Club,"600 Hempstead Turnpike, West Hempstead, NY, 11552",POINT (-73.662962 40.706612),40.706612,-73.662962
221,R.P.M.S. Advocacy/Support Services,Advocacy/Support Services,"198 E. 121st Street, New York, NY, 10035",POINT (-73.937685 40.801141),40.801141,-73.937685
222,Child and Adolescent Behavioral Health Center,Clinic Treatment,"425 Robinson Street, Binghamton, NY, 13904-1735",POINT (-75.866583 42.107984),42.107984,-75.866583
223,Niagara Falls Memorial Medical Center Clinic Treatment Prog,Clinic Treatment,"621 Tenth Street, Niagara Falls, NY, 14301-1813",POINT (-79.050429 43.093433),43.093433,-79.050429
225,Health  Home Care Management C&Y,Health Home Care Management,"1444 5th Avenue, Bay Shore, NY, 11706",POINT (-73.263906 40.745565),40.745565,-73.263906
228,Regional Planning Consortium,Advocacy/Support Services,"41 State Street Suite 505, Albany, NY, 12207",POINT (-73.751444 42.64915),42.64915,-73.751444
231,Crisis Outreach,Outreach,"400 N. Main Street, Warsaw, NY, 14569-1097",POINT (-78.132533 42.753447),42.753447,-78.132533
232,Family Counseling Center Mental Health Clinic,Clinic Treatment,"11-21 Broadway, Gloversville, NY, 12078-3968",POINT (-74.345287 43.048646),43.048646,-74.345287
234,Child and Family Clinic,Clinic Treatment,"141 Broadway, Newburgh, NY, 12550-6204",POINT (-74.013232 41.50016),41.50016,-74.013232
235,Mobile Integration Team,Mobile Integration Team,"1 Chimney Point Drive, Ogdensburg, NY, 13669",POINT (-75.451726 44.71765),44.71765,-75.451726
236,Pilgrim PC Suffolk - HHCM,Health Home Care Management,"998 Crooked Hill Road, West Brentwood, NY, 11717",POINT (-73.286926 40.80409),40.80409,-73.286926
239,Transitional Employment,Transitional Employment Placement (TEP),"36 Cady Hill Blvd, Saratoga Springs, NY, 12866",POINT (-73.822464 43.065307),43.065307,-73.822464
240,Essex County Community Services Board - HH NonMed CM,Health Home Non-Medicaid Care Management,"7513 Court Street, Elizabethtown, NY, 12932-0008",POINT (-73.597912 44.212689),44.212689,-73.597912
244,Drop In Center,Drop In Centers,"950 South Oyster Bay Road, Hicksville, NY, 11801",POINT (-73.499816 40.75716),40.75716,-73.499816
245,Karen Horney Clinic,Clinic Treatment,"329 East 62nd Street, New York, NY, 10065-7788",POINT (-73.961853 40.762001),40.762001,-73.961853
247,Family/Youth Intervention - Richmond,Home Based Crisis Intervention,"1765 South Ave, Staten Island, NY, 10314",POINT (-74.193675 40.601416),40.601416,-74.193675
248,NMCC - Shelter Comm Psych Support & Treatment Initiative,Non-Medicaid Care Coordination,"939 Johnson Avenue, Ronkonkoma, NY, 11779",POINT (-73.12145 40.807643),40.807643,-73.12145
252,Jefferson County Family Support Services,Family Peer Support Services - Children & Family,"210 Court Street, Watertown, NY, 13601",POINT (-75.91242 43.976989),43.976989,-75.91242
253,YOUTH & FAMILY WELLNESS SERVICES DEPARTMENT,CFTSS: Other Licensed Practitioner (OLP),"116 East 124th Street 3rd Floor, New York, NY, 10035",POINT (-73.938708 40.804038),40.804038,-73.938708
254,Intensive Day Treatment Program,Day Treatment,"197 Half Hollow Road, Dix Hills, NY, 11746-5861",POINT (-73.382467 40.792705),40.792705,-73.382467
255,Crisis Bed,Respite Services,"406 2nd Street 1st Floor, Troy, NY, 12180",POINT (-73.694922 42.715863),42.715863,-73.694922
256,Forensic Homeless Intensive Case Management Program,Non-Medicaid Care Coordination,"2090 7th Avenue, New York, NY, 10027",POINT (-73.948624 40.808706),40.808706,-73.948624
258,North Shore University Hospital @ Syosset,Inpatient Psychiatric Unit of a General Hospital,"221 Jericho Turnpike, Syosset, NY, 11791-4567",POINT (-73.508109 40.810221),40.810221,-73.508109
259,MH Alternative to Incarceration,Outreach,"112 East Post Road, White Plains, NY, 10601",POINT (-73.766405 41.028438),41.028438,-73.766405
262,Affinity Place,Advocacy/Support Services,"269 Alexander Street, Rochester, NY, 14607",POINT (-77.595588 43.152772),43.152772,-77.595588
264,CYFSS,Family Peer Support Services - Children & Family,"371 Main Street, Catskill, NY, 12414",POINT (-73.865349 42.218748),42.218748,-73.865349
265,Career Quest,Ongoing Integrated Supported Employment Services,"115 E. Stevens Avenue, Valhalla, NY, 10595",POINT (-73.772351 41.097716),41.097716,-73.772351
267,Mobile Crisis Team - Child & Youth,Crisis  Intervention,"100 N. Portland Avenue, Brooklyn, NY, 11205",POINT (-73.9762 40.695167),40.695167,-73.9762
268,MFY - CSS Program,Advocacy/Support Services,"100 William Street, New York, NY, 10038",POINT (-74.007486 40.708511),40.708511,-74.007486
269,Oswego Hospital ACT Program,Assertive Community Treatment (ACT),"29 East Cayuga Street, Oswego, NY, 13126-1241",POINT (-76.506744 43.459359),43.459359,-76.506744
273,Serving Youth and Families,CFTSS: Family Peer Support Services (FPSS),"205 South Ave., Poughkeepsie, NY, 12601",POINT (-73.931602 41.690438),41.690438,-73.931602
276,Stepping Stones,Comprehensive PROS with Clinical Treatment,"790 Park Avenue, Huntington, NY, 11743-4516",POINT (-73.391764 40.85724),40.85724,-73.391764
277,The Brownell Center for Behavioral Health,Clinic Treatment,"1045 James Street, Syracuse, NY, 13203-2703",POINT (-76.132654 43.060118),43.060118,-76.132654
278,Children's Mental Health Rehabilitation,CFTSS: Children's Mental Health Rehabilitation Services,"6395 Old Niagara Road, Lockport, NY, 14094-1421",POINT (-78.679576 43.18956),43.18956,-78.679576
279,Henry Street Settlement PROS Express,Comprehensive PROS with Clinical Treatment,"40 Montgomery Street, New York, NY, 10002-4808",POINT (-73.985077 40.712709),40.712709,-73.985077
280,St. Mary's Healthcare HH Non Mediciad Care Managment Fulton,Health Home Non-Medicaid Care Management,"427 Guy Park Avenue, Amsterdam, NY, 12010",POINT (-74.216041 42.953648),42.953648,-74.216041
281,Community Psychiatric Support and Treatment,CFTSS: Community Psychiatric Support and Treatment (CPST),"400 Doansburg Road, Brewster, NY, 10509",POINT (-73.553038 41.453859),41.453859,-73.553038
282,Genesee County Multicultural Initiatives,Multi-Cultural Initiative,"5130 E. Main Street Road, Batavia, NY, 14020",POINT (-78.142055 42.991197),42.991197,-78.142055
284,Interfaith Medical Center Inpatient Psychiatric Unit,Inpatient Psychiatric Unit of a General Hospital,"1545 Atlantic Avenue, Brooklyn, NY, 11213",POINT (-73.937154 40.677866),40.677866,-73.937154
286,Family Life Skills Education,Advocacy/Support Services,"166 Albany Ave, Kingston, NY, 12402-3516",POINT (-74.008506 41.933327),41.933327,-74.008506
287,Consumer Outreach,Outreach,"140 Route 303, Valley Cottage, NY, 10989",POINT (-73.94233 41.12062),41.12062,-73.94233
288,Charles Evans Center Mental Health Clinic,Clinic Treatment,"113 Glen Cove Avenue, Glen Cove, NY, 11542-3413",POINT (-73.635193 40.857443),40.857443,-73.635193
291,Children's Crisis Hotline,Advocacy/Support Services,"6311 Court Street Road, E. Syracuse, NY, 13057-2942",POINT (-76.083207 43.090293),43.090293,-76.083207
293,Bellevue Hospital ACT Program,Assertive Community Treatment (ACT),"462 First Avenue, New York, NY, 10016",POINT (-73.97625 40.740079),40.740079,-73.97625
294,Adult Home _ Outreach,Outreach,"25 Flatbush Avenue, Brooklyn, NY, 11217",POINT (-73.980183 40.687916),40.687916,-73.980183
295,Bellevue Hospital Outpatient Psychiatry Clinic,Clinic Treatment,"462 First Avenue, New York, NY, 10016-9196",POINT (-73.97625 40.740079),40.740079,-73.97625
297,Psychiatric Inpatient Unit,State Psychiatric Center Inpatient,"75 New Scotland Avenue, Albany, NY, 12208",POINT (-73.777893 42.652557),42.652557,-73.777893
298,Ongoing Integrated Supported Employment,Ongoing Integrated Supported Employment Services,"29 Sterling Avenue, White Plains, NY, 10605",POINT (-73.774595 41.021251),41.021251,-73.774595
299,Albany County DMH - HHCM,Health Home Care Management,"175 Green Street, Albany, NY, 12202",POINT (-73.754312 42.642015),42.642015,-73.754312
300,Interborough ERS,Early Recognition Coordination and Screening Services,"887 East New York Avenue, Brooklyn, NY, 11213",POINT (-73.932698 40.662794),40.662794,-73.932698
301,Assisted Outpatient Treatment,Advocacy/Support Services,"421 Montgomery Street - 10th Floor, Syracuse, NY, 13202",POINT (-76.148805 43.045777),43.045777,-76.148805
302,Non-Medicaid Coordination Program,Non-Medicaid Care Coordination,"1 Amy Kay Parkway, Kingston, NY, 12401",POINT (-74.014618 41.916881),41.916881,-74.014618
304,Healthy Steps,Advocacy/Support Services,"159 Margaret St., Plattsburg, NY, 12901",POINT (-73.453127 44.699946),44.699946,-73.453127
305,CFTSS - Family Peer Support Services,CFTSS: Family Peer Support Services (FPSS),"763 Rutger Street, Utica, NY, 13501",POINT (-75.21586 43.092834),43.092834,-75.21586
309,Youth Skill Building Services,Advocacy/Support Services,"274 N Goodman St, Rochester, NY, 14607",POINT (-77.585169 43.159062),43.159062,-77.585169
