,school_name,address,service,lat,lon
64,Quest to Learn,"351 WEST 18 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.7432281,-74.002426
65,Leadership and Public Service High School,"90 TRINITY PLACE, MANHATTAN, NY, 10006",Prevention Intervention Program MH,40.708961,-74.01243099999999
66,Manhattan Academy For Arts & Language,"111 EAST 33RD STREET, MANHATTAN, NY, 10016",School-based Health Center w/ Mental Health,40.7463061,-73.9811402
67,Murray Hill Academy,"111 EAST 33RD STREET, MANHATTAN, NY, 10016",School-based Health Center w/ Mental Health,40.7463061,-73.9811402
68,Hudson High School of Learning Technologies,"351 WEST 18 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.7432281,-74.002426
69,International High School at Union Square,"40 IRVING PLACE, MANHATTAN, NY, 10003",School-based Health Center w/ Mental Health,40.73518079999999,-73.9870892
70,Manhattan Village Academy,"43 WEST 22 STREET, MANHATTAN, NY, 10010",School Mental Health Specialist Program,40.7419328,-73.9922313
71,Vanguard High School,"317 EAST 67 STREET, MANHATTAN, NY, 10065",School-based Health Center w/ Mental Health,40.7653683,-73.9596962
72,Manhattan International High School,"317 EAST 67 STREET, MANHATTAN, NY, 10065",School-based Health Center w/ Mental Health,40.7653683,-73.9596962
73,Stuyvesant High School,"345 CHAMBERS STREET, MANHATTAN, NY, 10282",School-based Mental Health Clinic,40.7181492,-74.0137623
74,High School of Economics and Finance,"100 TRINITY PLACE, MANHATTAN, NY, 10006",School Mental Health Specialist Program,40.70925709999999,-74.0123392
75,Unity Center for Urban Technologies,"111 EAST 33RD STREET, MANHATTAN, NY, 10016",School-based Health Center w/ Mental Health,40.7463061,-73.9811402
76,Talent Unlimited High School,"317 EAST 67 STREET, MANHATTAN, NY, 10065",School-based Health Center w/ Mental Health,40.7653683,-73.9596962
77,Murry Bergtraum High School for Business Careers,"411 PEARL STREET, MANHATTAN, NY, 10038",Prevention Intervention Program MH,40.7110316,-74.0013216
78,Jacqueline Kennedy Onassis High School,"120 WEST 46 STREET, MANHATTAN, NY, 10036",Prevention Intervention Program MH,40.7576045,-73.9835118
79,Repertory Company High School for Theatre Arts,"123 WEST 43 STREET, MANHATTAN, NY, 10036",School Mental Health Specialist Program,40.7561203,-73.98445579999999
80,Union Square Academy for Health Sciences,"40 IRVING PLACE, MANHATTAN, NY, 10003",School-based Health Center w/ Mental Health,40.73518079999999,-73.9870892
81,Harvest Collegiate High School,"34 WEST 14 STREET, MANHATTAN, NY, 10011",School Mental Health Specialist Program,40.7365216,-73.99550860000001
82,Manhattan Bridges High School,"525 WEST 50TH STREET, MANHATTAN, NY, 10019",School-based Health Center w/ Mental Health,40.76563840000001,-73.9931036
83,New Design High School,"350 GRAND STREET, MANHATTAN, NY, 10002",School-based Health Center w/ Mental Health,40.7173452,-73.9892929
84,Independence High School,"850 10TH AVENUE, MANHATTAN, NY, 10019",School-based Mental Health Clinic,40.7678733,-73.988931
85,High School for Dual Language and Asian Studies,"350 GRAND STREET, MANHATTAN, NY, 10002",School-based Health Center w/ Mental Health,40.7173452,-73.9892929
86,Academy for Software Engineering,"40 IRVING PLACE, MANHATTAN, NY, 10003",School-based Health Center w/ Mental Health,40.73518079999999,-73.9870892
87,Urban Academy Laboratory High School,"317 EAST 67 STREET, MANHATTAN, NY, 10065",School-based Health Center w/ Mental Health,40.7653683,-73.9596962
88,The High School of Fashion Industries,"225 WEST 24 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.7456692,-73.99650369999999
89,Humanities Preparatory Academy,"351 WEST 18 STREET, MANHATTAN, NY, 10011",School-based Health Center w/ Mental Health,40.7432281,-74.002426
90,Art and Design High School,"231-249 EAST 56 STREET, MANHATTAN, NY, 10019",Prevention Intervention Program MH,40.759213,-73.966183
91,Life Sciences Secondary School,"320 EAST 96 STREET, MANHATTAN, NY, 10128",School Mental Health Specialist Program,40.7832167,-73.9460393
92,Lower Manhattan Community Middle School,"26 BROADWAY, MANHATTAN, NY, 10004",School Mental Health Specialist Program,40.7052022,-74.0131655
93,City Knoll Middle School,"440 WEST 53 STREET, MANHATTAN, NY, 10019",School-based Mental Health Clinic,40.7660107,-73.9897148
94,J.H.S. 054 Booker T. Washington,"103 WEST 107 STREET, MANHATTAN, NY, 10025",School Mental Health Specialist Program,40.8004677,-73.96266229999999
95,P.S. 076 A. Philip Randolph,"220 WEST 121 STREET, MANHATTAN, NY, 10027",School Mental Health Specialist Program,40.8065013,-73.9511366
96,P.S. 084 Lillian Weber,"32 WEST 92 STREET, MANHATTAN, NY, 10025",School-based Mental Health Clinic,40.7894371,-73.9680806
97,"P.S. 145, The Bloomingdale School","150 WEST 105 STREET, MANHATTAN, NY, 10025",School-based Mental Health Clinic,40.7990784,-73.965096
98,P.S. 149 Sojourner Truth,"41 WEST 117 STREET, MANHATTAN, NY, 10026",Community School MH,40.802645,-73.9481517
99,P.S. 163 Alfred E. Smith,"163 WEST 97 STREET, MANHATTAN, NY, 10025",School-based Mental Health Clinic,40.7948887,-73.9684479
100,P.S. 180 Hugo Newman,"370 WEST 120TH STREET, MANHATTAN, NY, 10027",School-based Health Center w/ Mental Health,40.8076245,-73.95604999999999
101,The Locke School of Arts and Engineering,"20 WEST 112 STREET, MANHATTAN, NY, 10026",School-based Mental Health Clinic,40.7984949,-73.9498493
102,The Riverside School for Makers and Artists,"300 WEST 61ST STREET, NEW YORK, NY, 10023",School Mental Health Specialist Program,40.7729791,-73.9900749
103,M.S. 243 Center School,"100 WEST 84 STREET, MANHATTAN, NY, 10024",School Mental Health Specialist Program,40.7850907,-73.973866
104,M.S. M245 The Computer School,"100 WEST 77 STREET, MANHATTAN, NY, 10024",School Mental Health Specialist Program,40.7810978,-73.97809649999999
105,M.S. M247 Dual Language Middle School,"100 WEST 77 STREET, MANHATTAN, NY, 10024",School Response Team,40.7810978,-73.97809649999999
106,M.S. 250 West Side Collaborative Middle School,"735 WEST END AVENUE, MANHATTAN, NY, 10025",School Mental Health Specialist Program,40.7952089,-73.9739578
107,Lafayette Academy,"154 WEST 93 STREET, MANHATTAN, NY, 10025",School-based Mental Health Clinic,40.7912562,-73.9711111
108,Community Action School - MS 258,"154 WEST 93 STREET, MANHATTAN, NY, 10025",School-based Mental Health Clinic,40.7912562,-73.9711111
109,West End Secondary School,"227-243 WEST 61ST STREET, MANHATTAN, NY, 10023",School Mental Health Specialist Program,40.7726113,-73.988348
110,P.S. 333 Manhattan School for Children,"154 WEST 93 STREET, MANHATTAN, NY, 10025",School-based Mental Health Clinic,40.7912562,-73.9711111
111,The Anderson School,"100 WEST 77 STREET, MANHATTAN, NY, 10024",School Mental Health Specialist Program,40.7810978,-73.97809649999999
112,The Urban Assembly School for Green Careers,"145 WEST 84 STREET, MANHATTAN, NY, 10024",School-based Health Center w/ Mental Health,40.7860105,-73.9740956
113,The Global Learning Collaborative,"145 WEST 84 STREET, MANHATTAN, NY, 10024",School-based Health Center w/ Mental Health,40.7860105,-73.9740956
114,Innovation Diploma Plus,"145 WEST 84 STREET, MANHATTAN, NY, 10024",School-based Health Center w/ Mental Health,40.7860105,-73.9740956
115,Wadleigh Secondary School for the Performing & Visual Arts,"215 WEST 114 STREET, MANHATTAN, NY, 10026",Community School MH,40.8025744,-73.95414029999999
116,Frank McCourt High School,"145 WEST 84 STREET, MANHATTAN, NY, 10024",School-based Health Center w/ Mental Health,40.7860105,-73.9740956
117,West Prep Academy,"150 WEST 105 STREET, MANHATTAN, NY, 10025",School-based Mental Health Clinic,40.7990784,-73.965096
118,Beacon High School,"522 WEST 44TH STREET, NEW YORK, NY, 10036",School Mental Health Specialist Program,40.761364,-73.99613939999999
119,Edward A. Reynolds West Side High School,"140 WEST 102 STREET, MANHATTAN, NY, 10025",School-based Health Center w/ Mental Health,40.7971349,-73.9668867
120,Frederick Douglass Academy II Secondary School,"215 WEST 114 STREET, MANHATTAN, NY, 10026",School-based Mental Health Clinic,40.8025744,-73.95414029999999
121,Mott Hall II,"234 WEST 109 STREET, MANHATTAN, NY, 10025",School Mental Health Specialist Program,40.8026474,-73.9660602
122,P.S. 007 Samuel Stern,"160 EAST 120 STREET, MANHATTAN, NY, 10035",School-based Health Center w/ Mental Health,40.8007729,-73.9393346
123,Tag Young Scholars,"240 EAST 109 STREET, MANHATTAN, NY, 10029",School-based Health Center w/ Mental Health,40.792727,-73.9421359
124,River East Elementary,"2351 FIRST AVENUE, MANHATTAN, NY, 10035",School-based Health Center w/ Mental Health,40.7992798,-73.93391609999999
125,P.S. 38 Roberto Clemente,"232 EAST 103 STREET, MANHATTAN, NY, 10029",Community School MH,40.7886777,-73.9448453
126,James Weldon Johnson,"176 EAST 115 STREET, MANHATTAN, NY, 10029",School-based Health Center w/ Mental Health,40.7972688,-73.9412633
127,The Lexington Academy,"131 EAST 104 STREET, MANHATTAN, NY, 10029",School-based Mental Health Clinic,40.7914348,-73.9474169
128,P.S. 083 Luis Munoz Rivera,"219 East 109 Street, Manhattan, NY, 10029",School-based Health Center w/ Mental Health,40.7931298,-73.9418125
129,P.S. 096 Joseph Lanzetta,"216 EAST 120 STREET, MANHATTAN, NY, 10035",Community School MH,40.8000808,-73.9373659
130,P.S. 102 Jacques Cartier,"315 EAST 113 STREET, MANHATTAN, NY, 10029",School-based Mental Health Clinic,40.79492219999999,-73.9383242
131,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,"1615 MADISON AVENUE, MANHATTAN, NY, 10029",School-based Health Center w/ Mental Health,40.7951252,-73.9478762
132,P.S. 146 Ann M. Short,"421 EAST 106 STREET, MANHATTAN, NY, 10029",School-based Mental Health Clinic,40.78919,-73.9378835
133,P.S. 155 William Paca,"319 EAST 117 STREET, MANHATTAN, NY, 10035",School-based Health Center w/ Mental Health,40.7975709,-73.93607399999999
134,P.S. 171 Patrick Henry,"19 EAST 103 STREET, MANHATTAN, NY, 10029",School Mental Health Specialist Program,40.7923184,-73.951458
135,The Bilingual Bicultural School,"219 East 109 Street, Manhattan, NY, 10029",School-based Health Center w/ Mental Health,40.7931298,-73.9418125
136,P.S. 206 Jose Celso Barbosa,"508 EAST 120 STREET, MANHATTAN, NY, 10035",School-based Mental Health Clinic,40.7969061,-73.9299784
137,M.S. 224 Manhattan East School for Arts & Academics,"410 EAST 100 STREET, MANHATTAN, NY, 10029",School Mental Health Specialist Program,40.7851753,-73.9424573
138,Esperanza Preparatory Academy,"240 EAST 109 STREET, MANHATTAN, NY, 10029",School-based Health Center w/ Mental Health,40.792727,-73.9421359
139,Mosaic Preparatory Academy,"141 EAST 111 STREET, MANHATTAN, NY, 10029",School Mental Health Specialist Program,40.7959016,-73.9446616
140,Renaissance School of the Arts,"319 EAST 117 STREET, MANHATTAN, NY, 10035",Community School MH,40.7975709,-73.93607399999999
141,Manhattan Center for Science and Mathematics,"260 PLEASANT AVENUE, MANHATTAN, NY, 10029",School-based Health Center w/ Mental Health,40.7940732,-73.93290520000001
142,Park East High School,"230 EAST 105 STREET, MANHATTAN, NY, 10029",School Mental Health Specialist Program,40.7902049,-73.9441678
143,Central Park East I,"1573 MADISON AVENUE, MANHATTAN, NY, 10029",School-based Mental Health Clinic,40.7936872,-73.9486109
144,Central Park East High School,"1573 MADISON AVENUE, MANHATTAN, NY, 10029",School-based Mental Health Clinic,40.7936872,-73.9486109
145,Young Women's Leadership School,"105 EAST 106TH STREET, NEW YORK, NY, 10029",School Mental Health Specialist Program,40.792935,-73.94716799999999
146,"Heritage School, The","1680 LEXINGTON AVENUE, MANHATTAN, NY, 10029",Prevention Intervention Program MH,40.7918963,-73.94686589999999
147,Isaac Newton Middle School for Math & Science,"260 PLEASANT AVENUE, MANHATTAN, NY, 10029",School-based Health Center w/ Mental Health,40.7940732,-73.93290520000001
148,Central Park East II,"433 EAST 100 STREET, MANHATTAN, NY, 10029",Community School MH,40.78518,-73.9410682
149,P.S. 036 Margaret Douglas,"123 MORNINGSIDE DRIVE, MANHATTAN, NY, 10027",School-based Mental Health Clinic,40.8106604,-73.9573358
150,P.S. 046 Arthur Tappan,"2987 FREDERICK DOUGLASS BOULEVARD, MANHATTAN, NY, 10039",School-based Health Center w/ Mental Health,40.8316474,-73.93607399999999
151,P.S. 092 Mary McLeod Bethune,"222 WEST 134 STREET, MANHATTAN, NY, 10030",School Mental Health Specialist Program,40.8148226,-73.94594740000001
152,P.S. 123 Mahalia Jackson,"301 WEST 140 STREET, MANHATTAN, NY, 10030",Community School MH,40.8203373,-73.9443402
153,P.S. 129 John H. Finley,"425 WEST 130 STREET, MANHATTAN, NY, 10027",School Mental Health Specialist Program,40.8150175,-73.9521927
154,P.S. 133 Fred R Moore,"2121 5 AVENUE, MANHATTAN, NY, 10037",School Mental Health Specialist Program,40.8098605,-73.9392692
155,Eagle Academy for Young Men of Harlem,"6 EDGECOMBE AVENUE, MANHATTAN, NY, 10030",School-based Health Center w/ Mental Health,40.8174596,-73.94714139999999
156,P.S. 154 Harriet Tubman,"250 WEST 127 STREET, MANHATTAN, NY, 10027",Community School MH,40.8106338,-73.9487487
157,P.S. 161 Pedro Albizu Campos,"499 WEST 133 STREET, MANHATTAN, NY, 10027",School-based Mental Health Clinic,40.81775520000001,-73.9524683
158,P.S. 194 Countee Cullen,"244 WEST 144 STREET, MANHATTAN, NY, 10030",Community School MH,40.8212338,-73.9406204
159,Urban Assembly Academy for Future Leaders,"509 WEST 129 STREET, MANHATTAN, NY, 10027",School Mental Health Specialist Program,40.8156813,-73.95577449999999
160,Mott Hall High School,"6 EDGECOMBE AVENUE, MANHATTAN, NY, 10030",School-based Health Center w/ Mental Health,40.8174596,-73.94714139999999
161,Columbia Secondary School,"425 WEST 123 STREET, MANHATTAN, NY, 10027",School Response Team,40.810687,-73.95606099999999
162,Urban Assembly School for the Performing Arts,"509 WEST 129 STREET, MANHATTAN, NY, 10027",School Mental Health Specialist Program,40.8156813,-73.95577449999999
163,School of Earth Exploration and Discovery Harlem (SEED Harlem),"425 WEST 130 STREET, MANHATTAN, NY, 10027",School Mental Health Specialist Program,40.8150175,-73.9521927
164,Frederick Douglass Academy,"2581 7TH AVENUE, MANHATTAN, NY, 10039",School-based Health Center w/ Mental Health,40.8243981,-73.936545
165,New Design Middle School,"625 WEST 133 STREET, MANHATTAN, NY, 10027",School Response Team,40.81970159999999,-73.9567465
166,Teachers College Community School,"168 MORNINGSIDE AVENUE, MANHATTAN, NY, 10027",School Mental Health Specialist Program,40.812531,-73.95354739999999
167,Thurgood Marshall Academy for Learning and Social Change,"200-214 WEST 135TH STREET, MANHATTAN, NY, 10030",School-based Health Center w/ Mental Health,40.8152484,-73.9443203
168,"High School for Mathematics, Science and Engineering at City College","240 CONVENT AVE, MANHATTAN, NY, 10031",School-based Mental Health Clinic,40.8214739,-73.94903889999999
169,P.S. 004 Duke Ellington,"500 WEST 160 STREET, MANHATTAN, NY, 10032",School-based Mental Health Clinic,40.8348474,-73.9412036
170,P.S. 018 Park Terrace,"4124 9 AVENUE, MANHATTAN, NY, 10034",School Mental Health Specialist Program,40.8716912,-73.9117038
171,P.S. 048 P.O. Michael J. Buczek,"4360-78 BROADWAY, MANHATTAN, NY, 10033",School-based Mental Health Clinic,40.8533574,-73.9335421
172,Harold O. Levy School,"650 ACADEMY STREET, MANHATTAN, NY, 10034",School-based Health Center w/ Mental Health,40.8659143,-73.925157
173,Dos Puentes Elementary School,"185 WADSWORTH AVENUE, MANHATTAN, NY, 10033",School-based Mental Health Clinic,40.8505665,-73.9339155
174,P.S. 128 Audubon,"560 WEST 169 STREET, MANHATTAN, NY, 10032",School-based Mental Health Clinic,40.8409822,-73.9387394
175,P.S. 132 Juan Pablo Duarte,"185 WADSWORTH AVENUE, MANHATTAN, NY, 10033",Community School MH,40.8505665,-73.9339155
176,J.H.S. 143 Eleanor Roosevelt,"511 WEST 182ND STREET, MANHATTAN, NY, 10033",School-based Health Center w/ Mental Health,40.8490987,-73.9311063
177,P.S. 152 Dyckman Valley,"93 NAGLE AVENUE, MANHATTAN, NY, 10040",School-based Mental Health Clinic,40.8601407,-73.92757780000001
178,P.S. 173,"306 FORT WASHINGTON AVENUE, MANHATTAN, NY, 10033",School-based Mental Health Clinic,40.8455807,-73.9394149
179,Professor Juan Bosch Public School,"12-18 ELLWOOD STREET, MANHATTAN, NY, 10040",School Mental Health Specialist Program,40.859308,-73.9282207
180,P.S./I.S. 187 Hudson Cliffs,"349 CABRINI BOULEVARD, MANHATTAN, NY, 10040",School-based Mental Health Clinic,40.8560964,-73.93703839999999
181,P.S. 189,"2580 AMSTERDAM AVENUE, MANHATTAN, NY, 10040",School-based Mental Health Clinic,40.8531056,-73.9279452
182,P.S. 192 Jacob H. Schiff,"500 WEST 138 STREET, MANHATTAN, NY, 10031",School-based Health Center w/ Mental Health,40.8210016,-73.9533407
183,Hamilton Grange Middle School,"500 WEST 138 STREET, MANHATTAN, NY, 10031",School-based Health Center w/ Mental Health,40.8210016,-73.9533407
184,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,"501-503 WEST 152 STREET, MANHATTAN, NY, 10031",School Response Team,40.8299318,-73.9445704
185,Inwood Early College for Health and Information Technologies,"650 ACADEMY STREET, MANHATTAN, NY, 10034",School-based Health Center w/ Mental Health,40.8659143,-73.925157
186,The Mott Hall School,"71-111 CONVENT AVE, MANHATTAN, NY, 10027",School Mental Health Specialist Program,40.81577679999999,-73.95265189999999
187,Paula Hedbavny School,"421 W 219TH ST, MANHATTAN, NY, 10034",School Mental Health Specialist Program,40.8714909,-73.9122076
188,City College Academy of the Arts,"4600 BROADWAY, MANHATTAN, NY, 10040",School-based Health Center w/ Mental Health,40.8608344,-73.9300119
189,Amistad Dual Language School,"4862 BROADWAY, MANHATTAN, NY, 10034",School Response Team,40.8662865,-73.9239496
190,M.S. 319 - Maria Teresa,"21 JUMEL PLACE, MANHATTAN, NY, 10032",School-based Health Center w/ Mental Health,40.839456,-73.9357066
191,Middle School 322,"4600 BROADWAY, MANHATTAN, NY, 10040",School-based Health Center w/ Mental Health,40.8608344,-73.9300119
192,M.S. 324 - Patria Mirabal,"21 JUMEL PLACE, MANHATTAN, NY, 10032",School-based Health Center w/ Mental Health,40.839456,-73.9357066
193,Community Math & Science Prep,"401 WEST 164 STREET, MANHATTAN, NY, 10032",School-based Health Center w/ Mental Health,40.8369119,-73.9374121
194,Community Health Academy of the Heights,"504 WEST 158TH STREET, MANHATTAN, NY, 10032",School-based Health Center w/ Mental Health,40.8336267,-73.9422563
195,Washington Heights Expeditionary Learning School,"511 WEST 182ND STREET, MANHATTAN, NY, 10033",School-based Health Center w/ Mental Health,40.8490987,-73.9311063
196,Harbor Heights,"306 FORT WASHINGTON AVENUE, MANHATTAN, NY, 10033",School-based Mental Health Clinic,40.8455807,-73.9394149
197,Washington Heights Academy,"202 SHERMAN AVE, MANHATTAN, NY, 10034",School Mental Health Specialist Program,40.8655288,-73.92160729999999
